;Entidad Federativa;Sexo;Salario;Año;Trimestre
381;Yucatán;Mujeres;4426.88;2006;Trimestre II
382;Zacatecas;Hombres;5838.79;2006;Trimestre II
383;Zacatecas;Mujeres;4495.47;2006;Trimestre II
384;Aguascalientes;Hombres;8439.76;2006;Trimestre III
385;Aguascalientes;Mujeres;6159.85;2006;Trimestre III
386;Baja California;Hombres;12014.6;2006;Trimestre III
387;Baja California;Mujeres;9259.46;2006;Trimestre III
388;Baja California Sur;Hombres;11646.07;2006;Trimestre III
389;Baja California Sur;Mujeres;8892.47;2006;Trimestre III
390;Campeche;Hombres;7330.99;2006;Trimestre III
391;Campeche;Mujeres;5513.49;2006;Trimestre III
392;Coahuila de Zaragoza;Hombres;9711.3;2006;Trimestre III
393;Coahuila de Zaragoza;Mujeres;7062.76;2006;Trimestre III
394;Colima;Hombres;9403.54;2006;Trimestre III
395;Colima;Mujeres;5879.52;2006;Trimestre III
396;Chiapas;Hombres;3635.42;2006;Trimestre III
397;Chiapas;Mujeres;3577.18;2006;Trimestre III
398;Chihuahua;Hombres;9405.58;2006;Trimestre III
399;Chihuahua;Mujeres;8373.32;2006;Trimestre III
400;Ciudad de México;Hombres;10623.99;2006;Trimestre III
401;Ciudad de México;Mujeres;7966.66;2006;Trimestre III
402;Durango;Hombres;6888.65;2006;Trimestre III
403;Durango;Mujeres;5607.82;2006;Trimestre III
404;Guanajuato;Hombres;6886.72;2006;Trimestre III
405;Guanajuato;Mujeres;4856.21;2006;Trimestre III
406;Guerrero;Hombres;4541.69;2006;Trimestre III
407;Guerrero;Mujeres;4137.57;2006;Trimestre III
408;Hidalgo;Hombres;6052.05;2006;Trimestre III
409;Hidalgo;Mujeres;4781.32;2006;Trimestre III
410;Jalisco;Hombres;8473.77;2006;Trimestre III
411;Jalisco;Mujeres;5593.16;2006;Trimestre III
412;México;Hombres;7821.6;2006;Trimestre III
413;México;Mujeres;5307.07;2006;Trimestre III
414;Michoacán de Ocampo;Hombres;6215.34;2006;Trimestre III
415;Michoacán de Ocampo;Mujeres;4272.72;2006;Trimestre III
416;Morelos;Hombres;6792.55;2006;Trimestre III
417;Morelos;Mujeres;4807.93;2006;Trimestre III
418;Nayarit;Hombres;7376.73;2006;Trimestre III
419;Nayarit;Mujeres;5159.93;2006;Trimestre III
420;Nuevo León;Hombres;11499.8;2006;Trimestre III
421;Nuevo León;Mujeres;7966.88;2006;Trimestre III
422;Oaxaca;Hombres;4045.12;2006;Trimestre III
423;Oaxaca;Mujeres;3189.62;2006;Trimestre III
424;Puebla;Hombres;5541.14;2006;Trimestre III
425;Puebla;Mujeres;3632.07;2006;Trimestre III
426;Querétaro;Hombres;8547.6;2006;Trimestre III
427;Querétaro;Mujeres;6093.79;2006;Trimestre III
428;Quintana Roo;Hombres;11317.47;2006;Trimestre III
429;Quintana Roo;Mujeres;7381.94;2006;Trimestre III
430;San Luis Potosí;Hombres;6879.38;2006;Trimestre III
431;San Luis Potosí;Mujeres;5155.87;2006;Trimestre III
432;Sinaloa;Hombres;8812.01;2006;Trimestre III
433;Sinaloa;Mujeres;6112.01;2006;Trimestre III
434;Sonora;Hombres;10098.39;2006;Trimestre III
435;Sonora;Mujeres;6872.15;2006;Trimestre III
436;Tabasco;Hombres;8231.37;2006;Trimestre III
437;Tabasco;Mujeres;6347.25;2006;Trimestre III
438;Tamaulipas;Hombres;9792.97;2006;Trimestre III
439;Tamaulipas;Mujeres;6892.52;2006;Trimestre III
440;Tlaxcala;Hombres;5450.54;2006;Trimestre III
441;Tlaxcala;Mujeres;4069.68;2006;Trimestre III
